Year,Month,DayOfWeek,Hour,Total
2019,5,2,14,163.25
2019,5,2,15,185.0
2019,5,2,16,247.0
2019,5,2,17,349.75
2019,5,2,18,399.0
2019,5,2,19,277.75
2019,5,2,20,162.0
2019,5,2,21,104.75
2019,5,2,22,108.0
2019,5,2,23,48.75
2019,5,3,0,23.2
2019,5,3,1,15.0
2019,5,3,2,7.6
2019,5,3,3,6.6
2019,5,3,4,7.8
2019,5,3,5,19.2
2019,5,3,6,75.0
2019,5,3,7,242.6
2019,5,3,8,399.6
2019,5,3,9,251.8
2019,5,3,10,181.6
2019,5,3,11,195.4
2019,5,3,12,252.8
2019,5,3,13,314.2
2019,5,3,14,347.4
2019,5,3,15,377.2
2019,5,3,16,383.0
2019,5,3,17,463.2
2019,5,3,18,466.4
2019,5,3,19,307.8
2019,5,3,20,200.0
2019,5,3,21,140.0
2019,5,3,22,108.4
2019,5,3,23,65.4
2019,5,4,0,38.6
2019,5,4,1,18.8
2019,5,4,2,9.6
2019,5,4,3,6.2
2019,5,4,4,8.4
2019,5,4,5,22.8
2019,5,4,6,98.6
2019,5,4,7,329.0
2019,5,4,8,546.8
2019,5,4,9,319.8
2019,5,4,10,223.4
2019,5,4,11,231.4
2019,5,4,12,256.8
2019,5,4,13,259.8
2019,5,4,14,329.0
2019,5,4,15,345.4
2019,5,4,16,439.2
2019,5,4,17,541.2
2019,5,4,18,579.8
2019,5,4,19,408.8
2019,5,4,20,224.4
2019,5,4,21,169.2
2019,5,4,22,152.4
2019,5,4,23,88.8
2019,5,5,0,39.6
2019,5,5,1,16.6
2019,5,5,2,6.8
2019,5,5,3,4.2
2019,5,5,4,7.0
2019,5,5,5,20.6
2019,5,5,6,87.6
2019,5,5,7,316.8
2019,5,5,8,479.2
2019,5,5,9,290.6
2019,5,5,10,189.6
2019,5,5,11,200.4
2019,5,5,12,207.4
2019,5,5,13,250.4
2019,5,5,14,302.4
2019,5,5,15,333.8
2019,5,5,16,378.0
2019,5,5,17,444.2
2019,5,5,18,429.6
2019,5,5,19,335.6
2019,5,5,20,224.0
2019,5,5,21,132.6
2019,5,5,22,132.6
2019,5,5,23,108.4
2019,5,6,0,77.25
2019,5,6,1,48.75
2019,5,6,2,26.0
2019,5,6,3,14.25
2019,5,6,4,12.0
2019,5,6,5,10.25
2019,5,6,6,17.75
2019,5,6,7,39.25
2019,5,6,8,74.75
2019,5,6,9,153.5
2019,5,6,10,226.25
2019,5,6,11,250.75
2019,5,6,12,287.0
2019,5,6,13,310.0
2019,5,6,14,308.75
2019,5,6,15,308.0
2019,5,6,16,279.75
2019,5,6,17,245.5
2019,5,6,18,230.75
2019,5,6,19,187.5
2019,5,6,20,130.75
2019,5,6,21,93.0
2019,5,6,22,88.0
2019,5,6,23,72.0
2019,5,7,0,59.5
2019,5,7,1,39.25
2019,5,7,2,31.5
2019,5,7,3,14.75
2019,5,7,4,8.25
2019,5,7,5,10.25
2019,5,7,6,13.75
2019,5,7,7,22.5
2019,5,7,8,43.0
2019,5,7,9,85.75
2019,5,7,10,145.25
2019,5,7,11,190.0
2019,5,7,12,273.75
2019,5,7,13,323.5
2019,5,7,14,361.25
2019,5,7,15,326.0
2019,5,7,16,383.75
2019,5,7,17,316.75
2019,5,7,18,240.0
2019,5,7,19,171.0
2019,5,7,20,121.75
2019,5,7,21,73.75
2019,5,7,22,57.0
2019,5,7,23,26.5
2019,6,1,0,24.0
2019,6,1,1,12.0
2019,6,1,2,7.25
2019,6,1,3,5.0
2019,6,1,4,9.0
2019,6,1,5,28.25
2019,6,1,6,128.5
2019,6,1,7,421.25
2019,6,1,8,679.25
2019,6,1,9,372.75
2019,6,1,10,232.0
2019,6,1,11,241.75
2019,6,1,12,314.25
2019,6,1,13,352.75
2019,6,1,14,377.5
2019,6,1,15,453.0
2019,6,1,16,542.0
2019,6,1,17,770.5
2019,6,1,18,767.0
2019,6,1,19,547.5
2019,6,1,20,387.0
2019,6,1,21,259.25
2019,6,1,22,202.0
2019,6,1,23,108.25
2019,6,2,0,33.25
2019,6,2,1,13.0
2019,6,2,2,7.25
2019,6,2,3,4.0
2019,6,2,4,8.25
2019,6,2,5,37.5
2019,6,2,6,172.25
2019,6,2,7,517.0
2019,6,2,8,816.5
2019,6,2,9,439.5
2019,6,2,10,261.25
2019,6,2,11,250.5
2019,6,2,12,269.25
2019,6,2,13,297.0
2019,6,2,14,338.25
2019,6,2,15,409.5
2019,6,2,16,504.25
2019,6,2,17,780.25
2019,6,2,18,931.25
2019,6,2,19,649.75
2019,6,2,20,417.25
2019,6,2,21,351.5
2019,6,2,22,317.75
2019,6,2,23,165.5
2019,6,3,0,60.0
2019,6,3,1,22.5
2019,6,3,2,12.25
2019,6,3,3,6.25
2019,6,3,4,13.0
2019,6,3,5,37.5
2019,6,3,6,170.0
2019,6,3,7,515.5
2019,6,3,8,821.5
2019,6,3,9,469.0
2019,6,3,10,268.25
2019,6,3,11,250.0
2019,6,3,12,252.0
2019,6,3,13,301.25
2019,6,3,14,316.5
2019,6,3,15,385.0
2019,6,3,16,517.25
2019,6,3,17,781.25
2019,6,3,18,924.25
2019,6,3,19,643.75
2019,6,3,20,451.0
2019,6,3,21,343.75
2019,6,3,22,335.25
2019,6,3,23,211.75
2019,6,4,0,106.5
2019,6,4,1,63.0
2019,6,4,2,26.0
2019,6,4,3,12.5
2019,6,4,4,13.5
2019,6,4,5,36.0
2019,6,4,6,128.25
2019,6,4,7,385.25
2019,6,4,8,613.5
2019,6,4,9,382.5
2019,6,4,10,260.5
2019,6,4,11,225.25
2019,6,4,12,267.75
2019,6,4,13,281.5
2019,6,4,14,350.5
2019,6,4,15,390.25
2019,6,4,16,408.0
2019,6,4,17,566.25
2019,6,4,18,633.5
2019,6,4,19,486.25
2019,6,4,20,313.25
2019,6,4,21,251.0
2019,6,4,22,246.0
2019,6,4,23,160.75
2019,6,5,0,66.25
2019,6,5,1,31.0
2019,6,5,2,13.75
2019,6,5,3,5.75
2019,6,5,4,12.25
2019,6,5,5,34.0
2019,6,5,6,136.75
2019,6,5,7,391.25
2019,6,5,8,614.75
2019,6,5,9,396.75
2019,6,5,10,261.25
2019,6,5,11,280.25
2019,6,5,12,320.0
2019,6,5,13,354.0
2019,6,5,14,435.25
2019,6,5,15,475.5
2019,6,5,16,574.5
2019,6,5,17,634.75
2019,6,5,18,642.75
2019,6,5,19,519.75
2019,6,5,20,359.25
2019,6,5,21,251.5
2019,6,5,22,239.5
2019,6,5,23,227.25
2019,6,6,0,128.8
2019,6,6,1,72.2
2019,6,6,2,39.0
2019,6,6,3,19.0
2019,6,6,4,13.6
2019,6,6,5,17.2
2019,6,6,6,24.6
2019,6,6,7,54.4
2019,6,6,8,111.8
2019,6,6,9,210.8
2019,6,6,10,275.4
2019,6,6,11,351.6
2019,6,6,12,368.4
2019,6,6,13,397.4
2019,6,6,14,436.0
2019,6,6,15,447.8
2019,6,6,16,443.6
2019,6,6,17,406.4
2019,6,6,18,385.2
2019,6,6,19,340.6
2019,6,6,20,234.0
2019,6,6,21,191.0
2019,6,6,22,159.2
2019,6,6,23,148.8
2019,6,7,0,123.8
2019,6,7,1,61.8
2019,6,7,2,38.4
2019,6,7,3,22.6
2019,6,7,4,13.6
2019,6,7,5,14.8
2019,6,7,6,19.4
2019,6,7,7,51.8
2019,6,7,8,77.8
2019,6,7,9,153.8
2019,6,7,10,263.2
2019,6,7,11,313.6
2019,6,7,12,393.8
2019,6,7,13,473.8
2019,6,7,14,544.8
2019,6,7,15,521.0
2019,6,7,16,477.0
2019,6,7,17,497.6
2019,6,7,18,480.8
2019,6,7,19,378.4
2019,6,7,20,263.8
2019,6,7,21,181.6
2019,6,7,22,133.2
2019,6,7,23,75.2
2019,7,1,0,24.8
2019,7,1,1,9.8
2019,7,1,2,6.4
2019,7,1,3,4.2
2019,7,1,4,6.2
2019,7,1,5,28.6
2019,7,1,6,122.6
2019,7,1,7,399.6
2019,7,1,8,689.0
2019,7,1,9,350.8
2019,7,1,10,202.4
2019,7,1,11,201.2
2019,7,1,12,224.0
2019,7,1,13,251.6
2019,7,1,14,257.8
2019,7,1,15,287.0
2019,7,1,16,393.6
2019,7,1,17,588.2
2019,7,1,18,691.0
2019,7,1,19,440.4
2019,7,1,20,307.6
2019,7,1,21,230.2
2019,7,1,22,182.6
